Al Amal Station_Urban Station_RCRC AIR Quality Monitoring Network.,,,,,,,,,,,,,,,,,,,
Dates ,ADA_08 - 08_AP mbar      ,ADA_08 - 08_AT degreC    ,ADA_08 - 08_BENZ ppb       ,ADA_08 - 08_CO ppm       ,ADA_08 - 08_EBEN ppb       ,ADA_08 - 08_MPXY ppb       ,ADA_08 - 08_NO ppb       ,ADA_08 - 08_NO2 ppb       ,ADA_08 - 08_NOX ppb       ,ADA_08 - 08_03 ppb       ,ADA_08 - 08_OXYL ppb       ,ADA_08 - 08_PM10 ug/m3     ,ADA_08 - 08_PM25 ug/m3     ,ADA_08 - 08_RH %         ,ADA_08 - 08_SO2 ppb       ,ADA_08 - 08_SR W/m2      ,ADA_08 - 08_TOLU ppb       ,ADA_08 - 08_WD degre     ,ADA_08 - 08_WS m/s       
1/10/2024 14:00,972.5,40.04,1.68,1.12,1.09,3.31,4.3,12,16.2,42.25,1.16,74.7,22,6.3,1.6,797.6,8.4,163.2,0.93
1/10/2024 15:00,972.1,39.92,1.6,1.04,1.2,3.79,3.2,11,14.2,43.86,1.33,76.1,19.9,6.13,1.8,658.2,9.3,220.2,0.98
1/10/2024 16:00,971.9,39.9,1.39,0.93,1.33,4.19,2.3,8.7,11,45.78,1.45,60.7,20.5,6.15,1.8,461.1,9.35,199.2,0.58
1/10/2024 17:00,971.9,39.13,1.54,1.37,1.04,3.39,4.4,19.6,24,34.79,1.15,51.9,15.3,6.39,1.7,201.7,9.18,236.8,1.07
1/10/2024 18:00,,,,,,,,,,,,,,,,,,,
1/10/2024 19:00,,,,,,,,,,,,,,,,,,,
1/10/2024 20:00,,,,,,,,,,,,,,,,,,,
1/10/2024 21:00,,,,,,,,,,,,,,,,,,,
1/10/2024 22:00,,,,,,,,,,,,,,,,,,,
1/10/2024 23:00,,,,,,,,,,,,,,,,,,,
1/11/2024 0:00,,,,,,,,,,,,,,,,,,,
2/10/2024 1:00,,,,,,,,,,,,,,,,,,,
2/10/2024 2:00,,,,,,,,,,,,,,,,,,,
2/10/2024 3:00,,,,,,,,,,,,,,,,,,,
2/10/2024 4:00,,,,,,,,,,,,,,,,,,,
2/10/2024 5:00,,,,,,,,,,,,,,,,,,,
2/10/2024 6:00,,,,,,,,,,,,,,,,,,,
2/10/2024 7:00,,,,,,,,,,,,,,,,,,,
2/10/2024 8:00,,,,,,,,,,,,,,,,,,,
2/10/2024 9:00,,,,,,,,,,,,,,,,,,,
2/10/2024 10:00,,,,,,,,,,,,,,,,,,,
2/10/2024 11:00,,,,,,,,,,,,,,,,,,,
2/10/2024 12:00,,,,,,,,,,,,,,,,,,,
2/10/2024 13:00,974.1,38.8,1.63,,1,3.05,5.5,15.5,20.9,36.34,1.11,88.6,22,11.48,-2.6,852.6,7.67,217.4,0.5
2/10/2024 14:00,973.7,39.3,1.86,0.26,1.22,3.71,3.1,10,13.1,45.53,1.39,0.3,0.1,9.69,-1,776.3,8.25,191.5,0.63
2/10/2024 15:00,973.4,39.53,0.97,0.12,0.54,1.55,2.1,8.1,10.2,48.81,0.55,54.8,16.1,9.23,-3.1,641.4,4.3,133.4,0.48
2/10/2024 16:00,973.4,39.15,1.26,0.12,0.82,2.43,1.6,8.8,10.5,49.4,0.85,48.5,5.6,9.54,-5.1,381.8,6.47,112.5,0.58
2/10/2024 17:00,973.5,37.47,1.6,0.27,0.68,2.01,4.8,25.5,30.3,28.09,0.73,64.4,29.4,10.52,-6.1,67.6,5.63,106.3,0.93
2/10/2024 18:00,973.6,36.81,3.28,0.49,2.86,8.51,13.3,46.1,59.4,10.6,3.21,60.6,19.2,10.15,-0.4,11.9,13.7,102.5,1.16
2/10/2024 19:00,974.1,35.91,4.49,0.77,6.87,17.89,28.5,54.8,83.3,4.51,7.07,88.4,26.2,11.64,-0.7,0,27.06,90.2,1.07
2/10/2024 20:00,974.5,35.5,5.12,0.62,7.55,19.53,23.1,50,73,4.51,7.54,103.2,35.4,12.49,-2.3,0,29.17,107.1,1.2
2/10/2024 21:00,974.9,34.78,3.88,0.45,2.87,9.01,11.7,40.6,52.2,8.72,3.01,106.3,43.4,13.23,-3.3,0,13.62,119.1,1.28
2/10/2024 22:00,975,34,4.45,0.39,2.29,7.2,10.8,40.1,50.9,6.25,2.66,100.7,31,14.57,10.3,0,12.89,107.8,1.18
2/10/2024 23:00,975,33.22,4.1,0.38,1.85,5.93,17.3,40.1,57.3,4.63,2.13,108.4,22.3,16.41,19.8,0,10.9,131.6,1.25
2/11/2024 0:00,975,32.39,2.69,0.28,1.24,4.21,5.1,30.7,35.8,9.85,1.51,95.8,30.9,18.18,-3.4,0,8.05,137.3,1.13
3/10/2024 1:00,974.9,31.61,2.91,0.56,1.11,3.42,8.6,34.4,43,5.38,1.24,74.5,22.1,18.56,3.3,0,6.91,134.9,0.92
3/10/2024 2:00,974.9,31.31,2.07,0.48,0.71,2.25,2.8,29.7,32.5,9.61,0.76,80,18.5,19.39,2.8,0,5.2,148.9,1.14
3/10/2024 3:00,974.8,30.73,1.27,0.53,0.66,2.08,1,22.8,23.8,16.74,0.75,107.5,32.3,20.93,1.4,0,4.15,140.3,1.27
3/10/2024 4:00,974.8,30.44,1.02,0.51,0.43,1.39,1,19.9,20.9,21.64,0.49,134.9,25.5,22.47,0.8,0,3.02,140.5,0.64
3/10/2024 5:00,975,30.3,1.08,0.52,0.42,1.37,1.5,31.3,32.7,11.53,0.48,105.2,34.2,23.11,0.6,0,3.28,137,0.91
3/10/2024 6:00,975.2,29.87,2.38,0.76,0.74,2.56,6.8,37.8,44.6,5.75,0.9,73.6,24.2,23.98,0.5,1.4,6.97,130.6,0.71
3/10/2024 7:00,975.7,29.82,3.35,0.85,1.11,3.92,23.9,38.2,62.1,5.86,1.41,113.2,23.6,24.36,1,42.7,9.51,142.9,0.63
3/10/2024 8:00,976.1,30.56,3.76,0.81,1.22,4.18,23.6,36.7,60.3,8.15,1.5,104.7,19.1,23.66,1.7,100.8,9.66,146,0.81
3/10/2024 9:00,976.3,33.02,3.92,0.75,1.55,5.1,15.7,32.2,47.9,16.68,1.8,86.1,27.6,20.97,1.4,180.2,10.65,156.7,0.85
3/10/2024 10:00,976.1,35.07,3.31,0.66,1.67,5.14,11.1,23.1,34.2,26.21,1.82,107.5,26.9,18.88,1.5,601.5,10.42,177.8,0.89
3/10/2024 11:00,975.9,36.66,1.77,0.55,1,3.15,4.7,14.2,18.9,38.32,1.16,159.4,26.4,15.51,1.8,820.5,7.25,182.3,0.82
3/10/2024 12:00,975.4,37.79,1.85,0.59,1.32,3.52,5,16.1,21.1,41.31,1.27,123.2,27.2,12.75,2.2,870.2,8.04,158.6,0.56
3/10/2024 13:00,974.9,38.51,,,,,,,,,,106.1,31.6,10.33,,862.1,,135.2,0.82
3/10/2024 14:00,,,,,,,,,,,,,,,,,,,
3/10/2024 15:00,,,,,,,,,,,,,,,,,,,
3/10/2024 16:00,,,,,,,,,,,,,,,,,,,
3/10/2024 17:00,974.4,37.78,8.18,0.74,4.73,8.54,3.5,24,27.5,29.27,3.85,0.4,0.1,9.63,10.4,137.2,10.33,108.5,0.83
3/10/2024 18:00,974.4,36.63,2.95,0.92,2.51,7.28,8.5,43.7,52.2,15.56,2.67,77.6,29.9,10.57,3.3,9,12.74,100.6,0.95
3/10/2024 19:00,974.5,36.07,5.89,1.35,8.02,20.25,40.6,58.5,99.1,3.17,8.15,82.7,27.7,11.35,2.8,0,31.06,94.5,0.9
3/10/2024 20:00,974.8,35.63,7.39,1.34,9.34,23.5,61.6,54.7,116.3,2.26,9.64,102.5,40,11.98,3.5,0,35.64,93,0.78
3/10/2024 21:00,975,35.44,6.61,1.14,6.91,18.5,41.1,48.2,89.3,2.63,7.4,118.5,24,12.02,9,0,27.52,114.7,0.94
3/10/2024 22:00,975,34.52,5.49,1,3.34,10.01,31,41,71.9,2.23,3.64,121.5,26.7,13.35,13.2,0,15.72,122.2,1.08
3/10/2024 23:00,975.2,33.44,4.72,0.9,2.48,7.76,21,34.1,55,3.5,2.91,118.3,35.9,14.88,5.5,0,13.83,134,1.06
3/11/2024 0:00,975.3,32.63,5.02,0.84,1.93,6.31,16.1,33.3,49.3,2.83,2.34,117.7,22.6,16.32,2.5,0,12.14,105.7,0.78
4/10/2024 1:00,975.2,31.72,4.4,0.73,2.46,7.81,33.2,33.9,67.1,3.13,2.97,94.7,22.3,18.15,2.9,0,11.85,101.4,0.56
4/10/2024 2:00,975.2,30.11,4.86,0.75,3.49,10.32,75.4,38.6,114,2.59,4.04,101.8,23.4,20.05,3.6,0,14.58,67.9,0.49
4/10/2024 3:00,975.3,29.26,4.74,0.68,6.31,16.13,58.7,37.4,96.1,2.62,6.8,105.3,29.4,21.97,3.7,0,10.24,69.5,0.39
4/10/2024 4:00,975.4,28.99,3.6,0.67,3.93,10.76,89.7,40.3,129.9,2.79,4.04,100,27.1,23.48,3.8,0,11.01,62.6,0.33
4/10/2024 5:00,975.9,28.7,4.36,0.53,3.19,8.97,47.4,34.7,82,6.02,3.38,110.7,30,28.97,3.2,0,12.11,39.6,0.71
4/10/2024 6:00,976.4,27.54,1.76,0.4,0.51,1.77,1,15.2,16.3,18.56,0.59,133,32.5,46,-0.2,1.5,4,31.8,0.77
4/10/2024 7:00,976.9,27.6,1.47,0.54,0.35,1.09,1.7,17.7,19.3,20.84,0.39,151.1,32.2,46.61,-0.6,43.7,2.34,36.9,0.8
4/10/2024 8:00,977.2,28.53,1.66,0.5,0.38,1.17,3.4,34.9,38.2,25.31,0.41,144.9,38.6,43.15,0.3,104.9,2.39,49.8,0.76
4/10/2024 9:00,977.6,29.81,1.31,0.54,0.3,0.83,1.5,11,12.5,46.81,0.33,146.4,40.4,39.45,1.1,184.3,1.95,66,1.06
4/10/2024 10:00,977.4,31.57,1.3,0.51,0.4,1.02,1.6,10.1,11.6,50.16,0.43,122.6,45.8,33.83,0.9,598.3,2.15,75.5,1.03
4/10/2024 11:00,977.1,33.63,1.15,0.49,0.48,1.21,1.7,9.5,11.3,53.1,0.45,122.8,39.8,27.64,1.1,810.8,2.45,81.7,0.88
4/10/2024 12:00,976.3,34.31,0.93,0.47,0.43,0.95,1.6,7.6,9.2,62.3,0.38,106.9,29.1,25.76,1.6,864.4,1.98,91.5,0.87
4/10/2024 13:00,975.6,35.65,0.9,0.42,0.39,0.86,1.3,6.3,7.6,68.28,0.33,82,32.1,22.61,1.6,848.3,1.92,98.3,0.56
4/10/2024 14:00,975,36.62,1,0.49,0.33,0.68,1.1,8.7,9.8,74.54,0.28,75.3,28.4,20.28,0.8,754.8,2.09,145.1,0.18
4/10/2024 15:00,974.6,36.94,1.61,0.57,0.48,1.16,1.1,10.8,11.9,81.41,0.46,75.6,35,19.36,0.4,621.9,4.52,23.6,0.22
4/10/2024 16:00,974.5,36.79,1.1,0.59,0.42,0.88,1,11.5,12.5,82.28,0.36,71.6,30.1,19.26,0.6,424,2.8,38.9,0.35
4/10/2024 17:00,974.3,35.98,1.76,0.6,0.63,1.7,1.1,13.4,14.5,82.15,0.66,73.7,31,19.61,0.7,178,5.43,25.6,0.44
4/10/2024 18:00,974.3,34.7,1.59,0.69,0.41,1.07,0.8,22.4,23.1,64.93,0.41,71.8,33.8,20.87,0.5,15.2,3.87,77.2,0.73
4/10/2024 19:00,974.5,34.2,2.88,0.71,1.62,5.41,1.1,28.2,29.2,38.97,1.89,72.3,34.6,21.03,1.2,0,11.06,55.1,0.75
4/10/2024 20:00,974.8,34.02,2.95,0.63,0.81,2.86,1.7,32,33.7,34.98,0.97,81.6,26.7,19.99,3,0,8.12,60.1,1.19
4/10/2024 21:00,975.3,32.61,2.08,0.52,0.61,2.15,1.7,14.1,15.8,38.42,0.75,88.8,29.1,18.44,3.7,0,5.79,58.9,1.78
4/10/2024 22:00,975.5,31.48,1.5,0.49,0.39,1.35,1.2,14.7,15.9,38.88,0.48,117.5,27.2,18.69,3.2,0,3.92,58.7,1.33
4/10/2024 23:00,975.6,30.57,1.74,0.53,0.36,1.25,2,24.2,26.2,29.86,0.44,123.1,24.3,19.25,3.3,0,4.38,72.7,0.85
4/11/2024 0:00,975.5,29.82,1.81,0.54,0.51,1.71,1,26.9,27.8,29.93,0.61,110.3,17.3,19.3,3,0,4.73,81,0.92
5/10/2024 1:00,975.5,29.15,4.65,0.38,1.07,3.57,0.6,25.4,26.1,30.84,1.26,90.8,18.2,19.43,2.4,0,13.4,80.9,0.66
5/10/2024 2:00,975.2,28.75,1.32,0.31,0.52,1.67,0.9,24.3,25.1,33.8,0.56,75.3,18.2,19.65,2.2,0,3.97,90.3,0.41
5/10/2024 3:00,975.1,27.63,1.35,0.39,0.6,2.02,3.2,41.9,45.2,16.83,0.71,61.6,22,21.25,1,0,4.55,54.8,0.39
5/10/2024 4:00,975.3,27.74,1.78,0.39,0.9,2.95,0.7,39.5,40.2,21.88,1.02,72.5,15.4,20.85,1.2,0,6.57,81.8,0.64
5/10/2024 5:00,975.6,27.13,1.13,0.25,0.94,2.9,1.2,47.3,48.5,15.66,1,62.1,19.2,21.73,1.4,0,4.81,78,0.49
5/10/2024 6:00,975.9,26.3,1.85,0.42,1.02,3.39,32.1,61.9,94,3.74,1.21,65.8,20.8,23.73,1.3,1.4,6.58,87.4,0.49
5/10/2024 7:00,976,26.99,3.09,0.63,2,6.4,64.9,63.1,127.9,2.87,2.38,66.2,16.1,23.98,2.5,39.6,10.62,94,0.52
5/10/2024 8:00,976.4,29.16,4.19,0.65,2.6,7.64,54.6,61.4,116,5.77,2.9,97.3,31.2,21.93,5.8,94.2,12.83,84.5,0.35
5/10/2024 9:00,976.6,30.79,3.64,0.5,2.94,8.43,9.5,40.6,50.1,27.2,3.2,101.4,26.6,18.78,9.7,181.6,12.9,89.5,0.84
5/10/2024 10:00,976.6,32.08,2.5,0.45,2.08,6.16,14.5,43.9,58.4,23.16,2.19,104.3,31.3,17.61,10.8,556.8,8.76,73,0.82
5/10/2024 11:00,976.3,33.55,1.94,0.44,1.57,4.35,7.6,29.7,37.3,36.21,1.55,127.1,32.2,15.25,6.5,796,6.37,93.3,0.83
5/10/2024 12:00,975.7,34.18,1.73,0.42,1.55,4.13,5.5,24.3,29.9,48.13,1.47,137.3,28.3,14.93,5.6,854.1,6.6,129.1,0.82
5/10/2024 13:00,975.1,35.25,2.77,0.36,1.47,3.6,4.5,21.2,25.7,52.83,1.31,95.3,25.2,14.4,6.7,839.1,8.06,210.2,0.38
5/10/2024 14:00,974.4,36.32,2.64,0.42,1.64,4.54,3.8,19.2,23,49.37,1.67,99,37.7,13.57,6.9,757.8,8.89,199.2,0.39
5/10/2024 15:00,973.9,36.75,2.46,0.45,1.45,3.88,1.7,13.3,15,60.24,1.41,107.2,26.4,13.34,6,637.2,8.56,129.4,0.1
5/10/2024 16:00,973.6,36.45,1.6,0.44,0.56,1.36,1.5,13.1,14.6,64.62,0.51,76.1,27.4,13.88,3.2,430.9,3.9,83.8,0.22
5/10/2024 17:00,973.4,35.71,2.41,0.55,1.6,4.76,1.7,28.7,30.4,47.48,1.73,71.9,25.4,14.71,2.3,176.6,9.4,97.6,0.79
5/10/2024 18:00,973.4,34.59,3.1,0.61,2.84,8.6,2.2,43.3,45.5,31.99,3.15,66.7,31.3,15.45,2.3,12.6,13.54,93.5,1.04
5/10/2024 19:00,973.6,34,4.73,0.77,5.97,16.4,9.5,63.2,72.7,10.01,6.39,83.4,25.4,15.68,7.6,0,24.44,89.3,1.21
5/10/2024 20:00,974.1,33.18,3.45,0.47,5.06,14.28,4.1,39.7,43.8,20.98,5.65,97.2,25.5,14.7,6.5,0,16.16,72.5,1.44
5/10/2024 21:00,974.6,32.14,2.36,0.52,0.83,2.97,5.4,33.6,39,17.11,1.01,93.9,25,14.35,3.1,0,6.66,66.6,1.31
5/10/2024 22:00,974.8,31.21,2.76,0.44,0.83,3,3.4,26.8,30.2,22.09,1.08,103.7,26.6,13.81,2.4,0,7.41,64.1,1.34
5/10/2024 23:00,975,30.13,1.52,0.41,0.47,1.57,2.8,32.5,35.3,15.83,0.54,85.9,21.2,13.72,2,0,4.48,67.7,0.94
5/11/2024 0:00,975.1,29.56,1.83,0.38,0.5,1.69,1.3,23.1,24.4,26.36,0.58,80.3,24.1,14.64,2,0,4.9,64.4,0.82
6/10/2024 1:00,975,28.56,1.81,0.35,0.97,3.05,1.3,30.3,31.5,19.55,1.16,61.8,17.9,15.93,1.9,0,5.31,96.3,0.67
6/10/2024 2:00,974.8,27.97,1.44,0.28,1.23,3.91,0.8,31.7,32.5,18.15,1.5,63.4,13.1,16.44,1.9,0,5.87,92.3,0.64
6/10/2024 3:00,974.9,26.84,1.11,0.32,1.02,3.42,6.5,38.1,44.7,11.45,1.18,67.5,16.8,18.06,0.6,0,6.52,74.3,0.45
6/10/2024 4:00,974.9,26.33,1.78,0.37,1.98,6.08,31.1,51.3,82.3,3.72,2.2,65.7,19.5,18.9,1,0,8.28,66.9,0.37
6/10/2024 5:00,975.2,26,2.45,0.28,3.64,10,30.6,51.4,81.9,2.33,3.78,72.6,22.7,19.53,2.5,0,9.83,90.9,0.45
6/10/2024 6:00,975.5,25.61,2.29,0.56,3.06,8.79,114.9,58.3,173.2,2.23,3.14,75.1,29.6,20.5,3.4,1.3,10.38,82.5,0.35
6/10/2024 7:00,975.7,25.93,11.07,1.36,7.22,17.7,219.7,65.4,285.1,2.37,7.04,95.5,31.4,22.16,8.1,38.3,38.16,65.8,0.39
6/10/2024 8:00,976.1,28.87,7.98,0.89,6.67,16.64,58.1,46.9,105,8.28,6.62,139.6,33.5,16.77,8.2,93,27.47,150.6,0.55
6/10/2024 9:00,976.5,30.8,3.58,0.6,1.64,5.48,15,35.3,50.3,19.95,2.03,125.8,34.4,14.32,5,155.7,10.59,96.3,0.72
6/10/2024 10:00,976.6,32.11,2.51,0.43,2.14,6.61,9.8,30.9,40.8,29.23,2.35,122.3,45.4,12.49,4.6,549,9.39,96,0.85
6/10/2024 11:00,976.4,33.63,3.39,0.39,3.16,8.6,9.9,32.4,42.3,32.1,3.21,114.4,32.4,11.02,4.4,816.9,12.69,89.2,1.01
6/10/2024 12:00,975.9,34.46,1.91,0.31,1.88,5.17,5.7,21.6,27.2,40.34,1.84,114.3,34.3,10.76,4.4,872.8,6.69,107,0.86
6/10/2024 13:00,975.4,35.77,1.74,0.28,1.3,3.76,5.1,18.6,23.7,45.93,1.3,95.3,24.6,9.76,4.2,857.4,7.57,182.3,0.36
6/10/2024 14:00,974.9,36.24,2.31,0.35,1.05,2.75,3.4,15.1,18.5,49.88,0.98,89.4,19.4,9.74,5.3,774.6,6.99,123.9,0.7
6/10/2024 15:00,974.4,36.42,1.93,0.36,0.92,2.59,3,14.8,17.8,51.28,0.93,68.4,29.1,9.64,5.8,651.6,6.6,165.6,0.4
6/10/2024 16:00,974.2,36.21,1.47,0.25,1.1,3.16,2,14.4,16.5,54.34,1.11,73.2,20.4,10.25,5,444.2,6.19,91.4,0.65
6/10/2024 17:00,974.2,35.45,1.39,0.27,1.1,3.09,2,25.9,27.9,42.65,1.09,61.2,21.8,10.7,4.3,185.5,5.03,86.3,0.85
6/10/2024 18:00,974.4,34.22,2.42,0.42,2.78,8.16,3.9,47.2,51.1,21.8,2.97,73,23.8,11.32,4.7,12.6,10.87,88.3,0.94
6/10/2024 19:00,974.8,33.51,4.58,0.79,6.89,18.79,20.2,62.3,82.5,7.56,7.33,80.4,25.1,11.77,5.3,0,22.71,81.6,0.91
6/10/2024 20:00,975.2,32.8,3.88,0.49,3.5,10.37,13.4,52.5,66,9.57,3.5,77.9,26.9,11.71,3.7,0,14.12,66.9,1.16
6/10/2024 21:00,975.7,31.99,3.34,0.4,2.53,7.84,4.5,36.7,41.1,17.79,2.78,89.9,28,12.05,2.6,0,14.57,61.7,1.41
6/10/2024 22:00,976,31.14,2.19,0.38,1.05,3.7,4.4,34.2,38.6,16.03,1.18,103.8,30.5,12.61,2,0,7.53,63.7,1.22
6/10/2024 23:00,976.3,30,2.31,0.36,0.85,2.74,6.2,37.5,43.7,10.59,0.94,106.8,22.1,13.97,2.1,0,6.19,65.1,0.98
6/11/2024 0:00,976.2,28.78,2.12,0.35,1.04,3.02,10.4,44.2,54.6,5.82,0.98,98.6,21.8,15.51,2,0,6.41,85.4,0.64
7/10/2024 1:00,976.2,28.1,1.86,0.48,1.63,5.17,41.9,50.2,92.1,3.29,1.51,90.4,18.4,16.37,2,0,7.02,81.6,0.54
7/10/2024 2:00,976.1,26.92,2.75,0.48,2.74,7.16,76.4,54.3,130.6,2.46,2.41,96.8,20.4,17.91,1.9,0,8.83,74.3,0.38
7/10/2024 3:00,976.1,26.54,2.63,0.5,3.29,9.46,41.6,51.7,93.3,2.16,3.2,109,29.3,18.49,2,0,10.26,77.6,0.38
7/10/2024 4:00,976.2,25.92,2.74,0.43,3.88,9.83,35.7,50.9,86.6,2.95,3.53,118.2,25.7,19.46,3.7,0,13.62,70,0.4
7/10/2024 5:00,976.4,25.27,2.29,0.46,5.6,13.18,83.2,55.4,138.6,2.67,5.23,130.2,24.1,20.65,4.7,0,13.08,87.5,0.31
7/10/2024 6:00,976.8,25.47,3.6,0.8,6.01,15.48,142.1,61,203,2.86,6.39,136,27.1,20.74,4.5,1.1,18.38,102,0.33
7/10/2024 7:00,977.1,26.19,6.41,1.47,6.38,17.63,157.4,61.3,218.7,3.64,5.86,145.1,34.9,20.56,7.7,36.4,25.19,109.6,0.4
7/10/2024 8:00,977.6,28.77,5.8,0.75,3.41,10.16,22.7,48.9,71.6,14.34,4.01,163,39.7,17.24,17.3,84.6,16.2,127.1,0.73
7/10/2024 9:00,977.9,30.72,2.81,0.7,1.14,4.02,13.1,40.5,53.6,25.17,1.43,137.3,47.5,15.3,23.8,144.7,8.12,145.1,0.49
7/10/2024 10:00,978,32.57,2.87,0.57,1.19,4.06,12.1,37.3,49.4,29.1,1.48,129.3,42.4,13.15,22.7,557.6,8.72,142.3,0.71
7/10/2024 11:00,977.9,34.23,2.35,0.49,2.11,4.18,7.9,25.8,33.7,35.59,1.43,125.8,39.2,11.5,17.4,825.5,7.13,132.5,0.75
7/10/2024 12:00,977.3,34.35,1.66,0.39,0.68,2.13,4.5,16.4,20.9,43.08,0.77,107.3,38,11.2,12.2,874.3,4.54,114.9,0.59
7/10/2024 13:00,976.7,35.25,2.18,0.39,0.67,2.13,7.3,20.5,27.8,47.16,0.77,86.8,29.3,10.37,8.4,855.8,5.53,171,0.43
7/10/2024 14:00,976.2,36.2,1.77,0.45,0.79,2.17,3.1,16.8,19.9,57.28,0.78,102.3,20.5,9.89,5.5,769.6,5.23,108.4,0.68
7/10/2024 15:00,975.8,36.91,1.63,0.62,0.62,1.56,2.4,18.1,20.5,64.05,0.6,86.1,26.9,9.45,3.9,636.6,4.82,2.2,0.46
7/10/2024 16:00,975.7,36.55,1.96,0.45,0.75,1.98,2.2,23.3,25.4,64.55,0.77,93,28.2,9.62,3.8,421.3,5.82,30,0.14
7/10/2024 17:00,975.7,35.35,2.14,0.44,0.89,2.06,1.5,30.3,31.9,56.32,0.8,102.4,29.3,10.52,5.6,152.7,5.64,44.1,0.72
7/10/2024 18:00,975.9,34.22,1.87,0.43,0.62,1.65,1.5,29,30.4,41.3,0.63,75.5,36.6,10.54,2.4,10.3,4.73,26.5,0.68
7/10/2024 19:00,976.4,33.55,2.11,0.54,0.62,2.19,6,37.6,43.7,24.22,0.79,99.6,32.8,9.69,1.4,0,5.74,47.6,1.18
7/10/2024 20:00,977.1,32.66,2.23,0.45,0.64,2.29,6,37.1,43.2,19.49,0.82,112.9,24.1,9.35,1.5,0,5.97,54.7,1.33
7/10/2024 21:00,977.6,31.65,4.34,0.45,1.08,3.78,3.2,33.1,36.3,24.12,1.31,98.4,19.9,10.19,2,0,12.5,53.7,1.23
7/10/2024 22:00,977.8,30.55,2.78,0.44,0.83,2.85,1.6,29.1,30.7,29.76,0.98,72.8,19.2,10.4,2.3,0,7.93,58.7,1.18
7/10/2024 23:00,977.9,29.04,2.61,0.41,0.87,2.87,2.8,37.7,40.6,25.94,0.97,82.2,17.7,10.57,3.8,0,6.97,75.3,0.79
7/11/2024 0:00,977.7,27.72,2.03,0.38,1.26,3.58,1.1,47,48,22.68,1.4,87,24.7,11.43,5.3,0,5.1,86.5,0.8
8/10/2024 1:00,977.5,26.46,2.17,0.42,2.08,5.67,3.6,57.1,60.8,17.08,2.25,76.3,22.3,12.33,7,0,5.64,83.7,0.54
8/10/2024 2:00,977.3,26.29,2.38,0.32,1.9,5.61,1.6,53.8,55.3,19.93,2.02,95.8,24.8,12.46,8.8,0,10.15,79.3,0.53
